name	creation_timestamp	last_push_timestamp	time_between_creation_and_last_push	time_since_creation	time_since_last_push	stargazers_count	watch_count	subscriber_count	open_issues	fork	forks_count	network_count	contributors	contributions	cont_per_0	cont_per_1	cont_per_2	cont_per_3	cont_per_4	cont_per_5	cont_per_6	cont_per_7	cont_per_8	cont_per_9
01org/baytrailaudio	1427297660	1456386491	29088831	261465800	232376969	5	0	0	3	0	6	6	100	131415	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
01org/edison-linux	1425598850	1659655007	234056157	263164610	29108453	46	0	0	14	0	51	51	100	147237	0.1	0.04	0.04	0.04	0.02	0.02	0.02	0.02	0.02	0.02
01org/Igvtg-kernel	1444774303	1659654855	214880552	243989157	29108605	45	0	0	23	0	33	33	0	0	0	0	0	0	0	0	0	0	0	0
01org/KVMGT-kernel	1417455630	1421290708	3835078	271307830	267472752	40	0	0	21	0	19	19	100	124081	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
01org/prd	1392404383	1449876668	57472285	296359077	238886792	29	0	0	0	0	17	17	0	0	0	0	0	0	0	0	0	0	0	0
01org/XenGT-Preview-kernel	1377732731	1659654034	281921303	311030729	29109426	32	0	0	17	0	14	14	0	0	0	0	0	0	0	0	0	0	0	0
060411121/zcl_linux	1396345212	1398149151	1803939	292418248	290614309	0	0	0	0	0	0	0	100	127698	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
06wj/three.js	1486536492	1688095280	201558788	202226968	668180	1	0	0	0	1	0	34828	100	35848	0.51	0.12	0.05	0.03	0.02	0.02	0.02	0.02	0.02	0.01
0dt12/loon	1407866015	1439324085	31458070	280897445	249439375	0	0	0	2	1	0	409	4	28	0.86	0.07	0.04	0.04	0	0	0	0	0	0
0mark/linux-sunxi	1428139613	1399494751	-28644862	260623847	289268709	0	0	0	0	1	0	48740	100	92964	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
0tt3r/QuaC	1462672306	1681628892	218956586	226091154	7134568	23	0	0	1	0	17	17	1	233	1.0	0	0	0	0	0	0	0	0	0
0x00evil/linux	1428368778	1428360302	-8476	260394682	260403158	0	0	0	0	1	0	48740	100	144035	0.1	0.04	0.04	0.04	0.02	0.02	0.02	0.02	0.02	0.02
0x00evil/Xiaomi_Kernel_OpenSource	1427808579	1427790357	-18222	260954881	260973103	0	0	0	0	1	0	2839	100	92365	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
0x0all/ROOT	1418563508	1409001400	-9562108	270199952	279762060	0	0	0	0	0	1	1	36	30126	0.28	0.16	0.1	0.07	0.07	0.06	0.05	0.04	0.03	0.03
0x7678/myOpenSC	1422002989	1392378887	-29624102	266760471	296384573	0	0	0	0	1	0	16	25	465	0.37	0.22	0.12	0.1	0.08	0.02	0.01	0.01	0.01	0.01
0x7678/OpenSC	1422002982	1414316967	-7686015	266760478	274446493	0	0	0	0	1	0	675	34	591	0.44	0.17	0.11	0.08	0.06	0.02	0.01	0.01	0.01	0.01
0xadada/homebrew-cask	1422629738	1509479871	86850133	266133722	179283589	0	0	0	0	1	0	10288	100	50969	0.27	0.23	0.1	0.04	0.03	0.03	0.03	0.02	0.02	0.02
0xBAMA/FroggySection	1648005668	1650245157	2239489	40757792	38518303	1	0	0	0	0	0	0	1	20	1.0	0	0	0	0	0	0	0	0	0
0xD34D/android-omap-tuna	1329846573	1325375988	-4470585	358916887	363387472	1	0	0	0	1	0	2	100	80692	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
0xD34D/kernel_amazon_otter	1350748529	1350750729	2200	338014931	338012731	0	0	0	0	0	0	0	100	80699	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
0xD34D/kernel_omap_bowser-common	1374076621	1374088388	11767	314686839	314675072	0	0	0	0	1	1	32	100	80708	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
0xf2/stackalytics	1544895548	1544896461	913	143867912	143866999	0	0	0	0	1	0	256	100	619	0.1	0.05	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02
0xfoo/docker	1442348114	1442434755	86641	246415346	246328705	1	0	0	0	1	0	18756	100	11742	0.13	0.11	0.08	0.07	0.06	0.06	0.04	0.04	0.04	0.04
0xMF/pelican	1407256894	1408552945	1296051	281506566	280210515	0	0	0	0	1	0	1818	100	2034	0.34	0.16	0.06	0.03	0.03	0.02	0.02	0.02	0.02	0.01
0xMF/pelican-plugins	1407280826	1408280295	999469	281482634	280483165	0	0	0	0	1	0	873	70	359	0.31	0.07	0.07	0.07	0.05	0.03	0.03	0.03	0.02	0.02
0z3r02/warewulf.lbl.gov	1544546653	1544546731	78	144216807	144216729	0	0	0	0	0	0	0	1	2	1.0	0	0	0	0	0	0	0	0	0
1119553797/sprd-kernel-common	1392347368	1389787840	-2559528	296416092	298975620	1	0	0	0	0	1	1	100	80510	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
117111302/gitignore	1408461502	1408423881	-37621	280301958	280339579	0	0	0	0	1	0	84178	100	764	0.23	0.16	0.13	0.04	0.02	0.02	0.02	0.02	0.02	0.01
11craft/pelican	1337699608	1429813846	92114238	351063852	258949614	1	0	0	0	1	0	1818	100	2162	0.32	0.19	0.06	0.03	0.03	0.02	0.02	0.02	0.02	0.02
11NJ/git-repo	1477142246	1637671633	160529387	211621214	51091827	0	0	0	0	0	0	0	89	721	0.37	0.2	0.16	0.05	0.02	0.02	0.01	0.01	0.01	0.01
12019/Dorimanx-SG2-I9100-Kernel	1393757913	1393721439	-36474	295005547	295042021	0	0	0	0	1	0	111	100	86620	0.09	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
12thmantec/novena-linux	1399515859	1439915646	40399787	289247601	248847814	0	0	0	0	1	0	16	100	123773	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
130265/Galaxy-S4-Value-Edition-I9515L-Kernel	1471488063	1471562665	74602	217275397	217200795	0	0	0	0	0	0	0	100	93375	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
13k/homebrew-cask	1417702712	1494088609	76385897	271060748	194674851	0	0	0	0	1	0	10288	100	46810	0.3	0.25	0.1	0.04	0.04	0.04	0.02	0.02	0.01	0.01
13W/docker	1392156433	1470304067	78147634	296607027	218459393	1	0	0	0	1	0	18756	100	18074	0.08	0.07	0.07	0.07	0.06	0.05	0.04	0.04	0.04	0.04
13yewebster/gitignore	1428913580	1428696272	-217308	259849880	260067188	0	0	0	0	1	0	84178	100	934	0.33	0.13	0.11	0.03	0.02	0.02	0.01	0.01	0.01	0.01
14rcole/docker	1464292219	1464290939	-1280	224471241	224472521	0	0	0	0	1	0	18756	100	16468	0.09	0.08	0.08	0.07	0.06	0.05	0.05	0.04	0.04	0.04
151706061/DCMTK-ITK	1372237856	1320810924	-51426932	316525604	367952536	0	0	0	0	1	0	9	74	19321	0.27	0.15	0.13	0.05	0.04	0.04	0.03	0.03	0.03	0.03
151706061/ITK	1362709032	1362704728	-4304	326054428	326058732	1	0	0	0	1	0	614	93	21403	0.26	0.14	0.12	0.05	0.05	0.05	0.04	0.03	0.03	0.03
173210/android_kernel_samsung_exynos4210jpn	1369464404	1369468681	4277	319299056	319294779	0	0	0	0	1	0	5	100	80728	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
173210/android_kernel_samsung_smdk4412	1393928277	1393942084	13807	294835183	294821376	0	0	0	0	1	0	519	100	81115	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
173210/linux	1414275379	1454228847	39953468	274488081	234534613	0	0	0	0	0	0	0	100	77614	0.08	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
173210/omnirom_kernel_samsung_smdk4412	1389492597	1391320752	1828155	299270863	297442708	0	0	0	0	1	0	38	100	80899	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
18F/emoji_search	1446748610	1454988717	8240107	242014850	233774743	31	0	0	3	0	6	6	3	15	0.8	0.13	0.07	0	0	0	0	0	0	0
1and1/jenkins	1441008875	1441310896	302021	247754585	247452564	0	0	0	0	1	0	8166	100	11117	0.44	0.19	0.05	0.03	0.03	0.03	0.02	0.02	0.02	0.01
1dot75cm/docker	1425631135	1425612321	-18814	263132325	263151139	0	0	0	0	1	0	18756	100	8704	0.17	0.14	0.07	0.07	0.05	0.05	0.05	0.05	0.04	0.03
1HLtd/linux	1396282918	1426166650	29883732	292480542	262596810	1	0	0	0	0	2	2	100	124077	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
1N4148/agni	1436029485	1436031171	1686	252733975	252732289	0	0	0	0	0	0	0	100	81196	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
1N4148/android_kernel_espresso	1423774263	1426007005	2232742	264989197	262756455	0	0	0	0	0	0	0	100	81320	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
1N4148/android_kernel_samsung_espresso10	1426006650	1430565277	4558627	262756810	258198183	0	0	0	0	1	0	67	100	81320	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
1N4148/android_kernel_samsung_msm8974	1438289913	1439741571	1451658	250473547	249021889	0	0	0	0	0	0	0	100	93299	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
1N4148/android_kernel_samsung_smdk4412	1425922330	1440338379	14416049	262841130	248425081	0	0	0	0	1	0	519	100	81196	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
1N4148/kernel_smdk4412	1436210101	1436528935	318834	252553359	252234525	0	0	0	0	0	0	0	100	80900	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
1nv4d3r5/android_kernel_oppo_find5	1388553620	1388506377	-47243	300209840	300257083	0	0	0	0	1	0	3	100	92350	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
1nv4d3r5/linux	1372407464	1372313349	-94115	316355996	316450111	0	0	0	0	1	0	48740	100	111365	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
