name	creation_timestamp	last_push_timestamp	time_between_creation_and_last_push	time_since_creation	time_since_last_push	stargazers_count	watch_count	subscriber_count	open_issues	fork	forks_count	network_count	contributors	contributions	cont_per_0	cont_per_1	cont_per_2	cont_per_3	cont_per_4	cont_per_5	cont_per_6	cont_per_7	cont_per_8	cont_per_9
0tt3r/QuaC	1462672306	1681628892	218956586	226073891	7117305	23	0	0	1	0	17	17	1	233	1.0	0	0	0	0	0	0	0	0	0
0xBAMA/FroggySection	1648005668	1650245157	2239489	40740529	38501040	1	0	0	0	0	0	0	1	20	1.0	0	0	0	0	0	0	0	0	0
0z3r02/warewulf.lbl.gov	1544546653	1544546731	78	144199544	144199466	0	0	0	0	0	0	0	1	2	1.0	0	0	0	0	0	0	0	0	0
1rdiansyah/earth-surface-temperature	1641605590	1641606146	556	47140607	47140051	0	0	0	0	0	0	0	1	3	1.0	0	0	0	0	0	0	0	0	0
343guiltyspark/NREL-API	1593465796	1593476423	10627	95280401	95269774	0	0	0	0	0	0	0	1	11	1.0	0	0	0	0	0	0	0	0	0
34ide/lauego	1374867327	1667493026	292625699	313878870	21253171	5	0	0	0	0	1	1	2	1807	0.99	0.01	0	0	0	0	0	0	0	0
760374564b/openucx	1651540338	1651540339	1	37205859	37205858	0	0	0	0	0	0	0	1	1	1.0	0	0	0	0	0	0	0	0	0
907Resident/NEON_Data_Analysis	1578598838	1612839224	34240386	110147359	75906973	0	0	0	0	0	0	0	1	39	1.0	0	0	0	0	0	0	0	0	0
a-ghose/GCN_Notebooks	1673313211	1673316829	3618	15432986	15429368	1	0	0	0	0	0	0	1	4	1.0	0	0	0	0	0	0	0	0	0
a-ghose/XANES-NNEnsemble_Notebooks	1673383776	1673407411	23635	15362421	15338786	0	0	0	0	0	0	0	1	4	1.0	0	0	0	0	0	0	0	0	0
a1k12/characterizing-pinns-failure-modes	1629237505	1637205359	7967854	59508692	51540838	72	0	0	2	0	25	25	2	15	0.73	0.27	0	0	0	0	0	0	0	0
a1k12/moleculetda	1603140116	1661706616	58566500	85606081	27039581	19	0	0	2	0	4	4	2	79	0.51	0.49	0	0	0	0	0	0	0	0
aacosta13/IDEAS-Work	1594700812	1597899623	3198811	94045385	90846574	0	0	0	0	0	1	1	1	3	1.0	0	0	0	0	0	0	0	0	0
AADeLucia/los_alamos_makers_python_club	1550022360	1551917624	1895264	138723837	136828573	2	0	0	0	0	1	1	1	1	1.0	0	0	0	0	0	0	0	0	0
aaparedes15/EBIT_spectral_analysis	1358469168	1358469426	258	330277029	330276771	0	0	0	0	0	0	0	1	1	1.0	0	0	0	0	0	0	0	0	0
aaronmlarsen/NN-ArtificialViscosity	1598673967	1624657338	25983371	90072230	64088859	0	0	0	0	0	0	0	1	4	1.0	0	0	0	0	0	0	0	0	0
aaronyujiaze/LBNL	1522450621	1522450769	148	166295576	166295428	0	0	0	0	0	0	0	1	2	1.0	0	0	0	0	0	0	0	0	0
abarnea/Bispectrum	1660929416	1686089455	25160039	27816781	2656742	0	0	0	0	0	0	0	1	49	1.0	0	0	0	0	0	0	0	0	0
abodh/sampleGridAPPSD	1592937623	1616716425	23778802	95808574	72029772	0	0	0	1	0	0	0	2	10	0.9	0.1	0	0	0	0	0	0	0	0
acadien/xrdAnalysis	1432059578	1432059718	140	256686619	256686479	2	0	0	0	0	1	1	1	2	1.0	0	0	0	0	0	0	0	0	0
accert-dev/accert	1680711322	1687882643	7171321	8034875	863554	1	0	0	9	0	2	2	1	10	1.0	0	0	0	0	0	0	0	0	0
acme-climate/iesm	1496860037	1498485202	1625165	191886160	190260995	12	0	0	1	0	7	7	1	8	1.0	0	0	0	0	0	0	0	0	0
ACME-OUI/llnl-poller	1469568723	1477931310	8362587	219177474	210814887	0	0	0	0	0	0	0	1	27	1.0	0	0	0	0	0	0	0	0	0
acroucher/pytough	1316394118	1688101336	371707218	372352079	644861	79	0	0	10	0	34	34	2	900	1.0	0.0	0	0	0	0	0	0	0	0
acts-project/acts	1552470253	1688636200	136165947	136275944	109997	88	0	0	115	0	126	126	55	5408	0.26	0.23	0.13	0.1	0.08	0.04	0.03	0.02	0.02	0.02
AD-SDL/.github	1652114291	1660615498	8501207	36631906	28130699	0	0	0	0	0	0	0	2	5	0.8	0.2	0	0	0	0	0	0	0	0
AD-SDL/8IDI_workcell	1683571130	1688064676	4493546	5175067	681521	0	0	0	0	0	0	0	1	40	1.0	0	0	0	0	0	0	0	0	0
AD-SDL/a4s_sealer_module	1653588627	1687891285	34302658	35157570	854912	0	0	0	0	0	3	3	5	215	0.52	0.23	0.13	0.11	0.01	0	0	0	0	0
AD-SDL/adc-rdm-sdk	1626376027	1670564500	44188473	62370170	18181697	3	0	0	2	0	1	1	6	76	0.41	0.24	0.16	0.12	0.07	0.01	0	0	0	0
AD-SDL/auto-frhodo	1659370731	1664221719	4850988	29375466	24524478	0	0	0	1	0	1	1	1	4	1.0	0	0	0	0	0	0	0	0	0
ad-sdl/azenta_driver	1653588627	1687891285	34302658	35157570	854912	0	0	0	0	0	3	3	5	215	0.52	0.23	0.13	0.11	0.01	0	0	0	0	0
AD-SDL/bio-portal	1680624347	1681228903	604556	8121850	7517294	0	0	0	0	0	0	0	2	7	0.57	0.43	0	0	0	0	0	0	0	0
ad-sdl/biometra_driver	1653586516	1688144283	34557767	35159681	601914	0	0	0	1	0	0	0	4	109	0.54	0.23	0.22	0.01	0	0	0	0	0	0
AD-SDL/biometra_module	1653586516	1688144283	34557767	35159681	601914	0	0	0	1	0	0	0	4	109	0.54	0.23	0.22	0.01	0	0	0	0	0	0
AD-SDL/BIO_workcell	1684506542	1688586791	4080249	4239655	159406	0	0	0	0	0	1	1	3	14	0.79	0.14	0.07	0	0	0	0	0	0	0
AD-SDL/brooks_xpeel_module	1678296601	1686595900	8299299	10449596	2150297	0	0	0	0	0	0	0	2	15	0.93	0.07	0	0	0	0	0	0	0	0
AD-SDL/camera_module	1668544170	1683238909	14694739	20202027	5507288	0	0	0	0	0	1	1	3	40	0.9	0.07	0.03	0	0	0	0	0	0	0
AD-SDL/DNA-BOT	1623779123	1630348900	6569777	64967074	58397297	0	0	0	0	1	0	18	7	60	0.63	0.22	0.03	0.03	0.03	0.03	0.02	0	0	0
