name	creation_timestamp	last_push_timestamp	time_between_creation_and_last_push	time_since_creation	time_since_last_push	stargazers_count	watch_count	subscriber_count	open_issues	fork	forks_count	network_count	contributors	contributions	cont_per_0	cont_per_1	cont_per_2	cont_per_3	cont_per_4	cont_per_5	cont_per_6	cont_per_7	cont_per_8	cont_per_9
01org/baytrailaudio	1427297660	1456386491	29088831	261382432	232293601	5	0	0	3	0	6	6	100	131415	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
01org/edison-linux	1425598850	1659655007	234056157	263081242	29025085	46	0	0	14	0	51	51	100	147237	0.1	0.04	0.04	0.04	0.02	0.02	0.02	0.02	0.02	0.02
01org/KVMGT-kernel	1417455630	1421290708	3835078	271224462	267389384	40	0	0	21	0	19	19	100	124081	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
060411121/zcl_linux	1396345212	1398149151	1803939	292334880	290530941	0	0	0	0	0	0	0	100	127698	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
06wj/three.js	1486536492	1688095280	201558788	202143600	584812	1	0	0	0	1	0	34828	100	35848	0.51	0.12	0.05	0.03	0.02	0.02	0.02	0.02	0.02	0.01
0mark/linux-sunxi	1428139613	1399494751	-28644862	260540479	289185341	0	0	0	0	1	0	48740	100	92964	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
0x00evil/linux	1428368778	1428360302	-8476	260311314	260319790	0	0	0	0	1	0	48740	100	144035	0.1	0.04	0.04	0.04	0.02	0.02	0.02	0.02	0.02	0.02
0x00evil/Xiaomi_Kernel_OpenSource	1427808579	1427790357	-18222	260871513	260889735	0	0	0	0	1	0	2839	100	92365	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
0x0all/ROOT	1418563508	1409001400	-9562108	270116584	279678692	0	0	0	0	0	1	1	36	30126	0.28	0.16	0.1	0.07	0.07	0.06	0.05	0.04	0.03	0.03
0x7678/myOpenSC	1422002989	1392378887	-29624102	266677103	296301205	0	0	0	0	1	0	16	25	465	0.37	0.22	0.12	0.1	0.08	0.02	0.01	0.01	0.01	0.01
0x7678/OpenSC	1422002982	1414316967	-7686015	266677110	274363125	0	0	0	0	1	0	675	34	591	0.44	0.17	0.11	0.08	0.06	0.02	0.01	0.01	0.01	0.01
0xadada/homebrew-cask	1422629738	1509479871	86850133	266050354	179200221	0	0	0	0	1	0	10288	100	50969	0.27	0.23	0.1	0.04	0.03	0.03	0.03	0.02	0.02	0.02
0xD34D/android-omap-tuna	1329846573	1325375988	-4470585	358833519	363304104	1	0	0	0	1	0	2	100	80692	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
0xD34D/kernel_amazon_otter	1350748529	1350750729	2200	337931563	337929363	0	0	0	0	0	0	0	100	80699	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
0xD34D/kernel_omap_bowser-common	1374076621	1374088388	11767	314603471	314591704	0	0	0	0	1	1	32	100	80708	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
0xf2/stackalytics	1544895548	1544896461	913	143784544	143783631	0	0	0	0	1	0	256	100	619	0.1	0.05	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02
0xfoo/docker	1442348114	1442434755	86641	246331978	246245337	1	0	0	0	1	0	18756	100	11742	0.13	0.11	0.08	0.07	0.06	0.06	0.04	0.04	0.04	0.04
0xMF/pelican	1407256894	1408552945	1296051	281423198	280127147	0	0	0	0	1	0	1818	100	2034	0.34	0.16	0.06	0.03	0.03	0.02	0.02	0.02	0.02	0.01
0xMF/pelican-plugins	1407280826	1408280295	999469	281399266	280399797	0	0	0	0	1	0	873	70	359	0.31	0.07	0.07	0.07	0.05	0.03	0.03	0.03	0.02	0.02
1119553797/sprd-kernel-common	1392347368	1389787840	-2559528	296332724	298892252	1	0	0	0	0	1	1	100	80510	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
117111302/gitignore	1408461502	1408423881	-37621	280218590	280256211	0	0	0	0	1	0	84178	100	764	0.23	0.16	0.13	0.04	0.02	0.02	0.02	0.02	0.02	0.01
11craft/pelican	1337699608	1429813846	92114238	350980484	258866246	1	0	0	0	1	0	1818	100	2162	0.32	0.19	0.06	0.03	0.03	0.02	0.02	0.02	0.02	0.02
11NJ/git-repo	1477142246	1637671633	160529387	211537846	51008459	0	0	0	0	0	0	0	89	721	0.37	0.2	0.16	0.05	0.02	0.02	0.01	0.01	0.01	0.01
12019/Dorimanx-SG2-I9100-Kernel	1393757913	1393721439	-36474	294922179	294958653	0	0	0	0	1	0	111	100	86620	0.09	0.04	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02
12thmantec/novena-linux	1399515859	1439915646	40399787	289164233	248764446	0	0	0	0	1	0	16	100	123773	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
130265/Galaxy-S4-Value-Edition-I9515L-Kernel	1471488063	1471562665	74602	217192029	217117427	0	0	0	0	0	0	0	100	93375	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
13k/homebrew-cask	1417702712	1494088609	76385897	270977380	194591483	0	0	0	0	1	0	10288	100	46810	0.3	0.25	0.1	0.04	0.04	0.04	0.02	0.02	0.01	0.01
13W/docker	1392156433	1470304067	78147634	296523659	218376025	1	0	0	0	1	0	18756	100	18074	0.08	0.07	0.07	0.07	0.06	0.05	0.04	0.04	0.04	0.04
13yewebster/gitignore	1428913580	1428696272	-217308	259766512	259983820	0	0	0	0	1	0	84178	100	934	0.33	0.13	0.11	0.03	0.02	0.02	0.01	0.01	0.01	0.01
14rcole/docker	1464292219	1464290939	-1280	224387873	224389153	0	0	0	0	1	0	18756	100	16468	0.09	0.08	0.08	0.07	0.06	0.05	0.05	0.04	0.04	0.04
151706061/DCMTK-ITK	1372237856	1320810924	-51426932	316442236	367869168	0	0	0	0	1	0	9	74	19321	0.27	0.15	0.13	0.05	0.04	0.04	0.03	0.03	0.03	0.03
151706061/ITK	1362709032	1362704728	-4304	325971060	325975364	1	0	0	0	1	0	614	93	21403	0.26	0.14	0.12	0.05	0.05	0.05	0.04	0.03	0.03	0.03
173210/android_kernel_samsung_exynos4210jpn	1369464404	1369468681	4277	319215688	319211411	0	0	0	0	1	0	5	100	80728	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
173210/android_kernel_samsung_smdk4412	1393928277	1393942084	13807	294751815	294738008	0	0	0	0	1	0	519	100	81115	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
173210/linux	1414275379	1454228847	39953468	274404713	234451245	0	0	0	0	0	0	0	100	77614	0.08	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
173210/omnirom_kernel_samsung_smdk4412	1389492597	1391320752	1828155	299187495	297359340	0	0	0	0	1	0	38	100	80899	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
1and1/jenkins	1441008875	1441310896	302021	247671217	247369196	0	0	0	0	1	0	8166	100	11117	0.44	0.19	0.05	0.03	0.03	0.03	0.02	0.02	0.02	0.01
1dot75cm/docker	1425631135	1425612321	-18814	263048957	263067771	0	0	0	0	1	0	18756	100	8704	0.17	0.14	0.07	0.07	0.05	0.05	0.05	0.05	0.04	0.03
1HLtd/linux	1396282918	1426166650	29883732	292397174	262513442	1	0	0	0	0	2	2	100	124077	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
1N4148/agni	1436029485	1436031171	1686	252650607	252648921	0	0	0	0	0	0	0	100	81196	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
1N4148/android_kernel_espresso	1423774263	1426007005	2232742	264905829	262673087	0	0	0	0	0	0	0	100	81320	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
1N4148/android_kernel_samsung_espresso10	1426006650	1430565277	4558627	262673442	258114815	0	0	0	0	1	0	67	100	81320	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
1N4148/android_kernel_samsung_msm8974	1438289913	1439741571	1451658	250390179	248938521	0	0	0	0	0	0	0	100	93299	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
1N4148/android_kernel_samsung_smdk4412	1425922330	1440338379	14416049	262757762	248341713	0	0	0	0	1	0	519	100	81196	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
1N4148/kernel_smdk4412	1436210101	1436528935	318834	252469991	252151157	0	0	0	0	0	0	0	100	80900	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
1nv4d3r5/android_kernel_oppo_find5	1388553620	1388506377	-47243	300126472	300173715	0	0	0	0	1	0	3	100	92350	0.09	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02
1nv4d3r5/linux	1372407464	1372313349	-94115	316272628	316366743	0	0	0	0	1	0	48740	100	111365	0.1	0.04	0.04	0.04	0.03	0.03	0.02	0.02	0.02	0.02
1nv4d3r5/linux-1	1372407562	1372075418	-332144	316272530	316604674	0	0	0	0	1	0	4559	100	98361	0.1	0.04	0.04	0.03	0.03	0.03	0.03	0.02	0.02	0.02
1uptalent/docker	1390472008	1434538267	44066259	298208084	254141825	0	0	0	0	1	0	18756	100	6766	0.19	0.18	0.16	0.07	0.06	0.04	0.04	0.03	0.02	0.02
292388900/jenkins	1437705062	1437679228	-25834	250975030	251000864	0	0	0	0	1	0	8166	100	10902	0.45	0.19	0.05	0.03	0.03	0.03	0.02	0.02	0.02	0.01
2947721120/cdnjs	1449637494	1465187024	15549530	239042598	223493068	0	0	0	1	0	0	0	100	14497	0.64	0.09	0.07	0.03	0.02	0.02	0.01	0.01	0.01	0.0
2betop/cdnjs	1389018804	1389022392	3588	299661288	299657700	0	0	0	0	1	0	4562	100	2951	0.31	0.23	0.15	0.02	0.02	0.01	0.01	0.01	0.01	0.01
2nd-yacuken/android_kernel_samsung_espresso10	1445417717	1478876092	33458375	243262375	209804000	0	0	0	0	0	1	1	100	81315	0.09	0.04	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.02
3013216027/gitignore	1437991990	1437928773	-63217	250688102	250751319	0	0	0	0	1	0	84178	100	983	0.34	0.13	0.1	0.03	0.03	0.02	0.02	0.01	0.01	0.01
304471720/docker	1439863529	1439862404	-1125	248816563	248817688	0	0	0	0	1	0	18756	100	11311	0.13	0.11	0.08	0.07	0.06	0.06	0.04	0.04	0.04	0.04
311devs/primeng	1503417219	1565356682	61939463	185262873	123323410	0	0	0	0	1	1	4202	100	1285	0.33	0.25	0.08	0.06	0.04	0.03	0.02	0.01	0.01	0.01
