name	creation_timestamp	last_push_timestamp	time_between_creation_and_last_push	time_since_creation	time_since_last_push	stargazers_count	watch_count	subscriber_count	open_issues	fork	forks_count	network_count	contributors	contributions	cont_per_0	cont_per_1	cont_per_2	cont_per_3	cont_per_4	cont_per_5	cont_per_6	cont_per_7	cont_per_8	cont_per_9
0tt3r/QuaC	1462672306	1681628892	218956586	226079235	7122649	23	0	0	1	0	17	17	1	233	1.0	0	0	0	0	0	0	0	0	0
0xBAMA/FroggySection	1648005668	1650245157	2239489	40745873	38506384	1	0	0	0	0	0	0	1	20	1.0	0	0	0	0	0	0	0	0	0
0z3r02/warewulf.lbl.gov	1544546653	1544546731	78	144204888	144204810	0	0	0	0	0	0	0	1	2	1.0	0	0	0	0	0	0	0	0	0
1rdiansyah/earth-surface-temperature	1641605590	1641606146	556	47145951	47145395	0	0	0	0	0	0	0	1	3	1.0	0	0	0	0	0	0	0	0	0
2019-ncovgroup/drugworkflows	1583796721	1617628139	33831418	104954820	71123402	3	0	0	0	0	6	6	8	516	0.45	0.33	0.08	0.06	0.05	0.02	0.0	0.0	0	0
343guiltyspark/NREL-API	1593465796	1593476423	10627	95285745	95275118	0	0	0	0	0	0	0	1	11	1.0	0	0	0	0	0	0	0	0	0
34ide/lauego	1374867327	1667493026	292625699	313884214	21258515	5	0	0	0	0	1	1	2	1807	0.99	0.01	0	0	0	0	0	0	0	0
760374564b/openucx	1651540338	1651540339	1	37211203	37211202	0	0	0	0	0	0	0	1	1	1.0	0	0	0	0	0	0	0	0	0
907Resident/NEON_Data_Analysis	1578598838	1612839224	34240386	110152703	75912317	0	0	0	0	0	0	0	1	39	1.0	0	0	0	0	0	0	0	0	0
a-ghose/GCN_Notebooks	1673313211	1673316829	3618	15438330	15434712	1	0	0	0	0	0	0	1	4	1.0	0	0	0	0	0	0	0	0	0
a-ghose/XANES-NNEnsemble_Notebooks	1673383776	1673407411	23635	15367765	15344130	0	0	0	0	0	0	0	1	4	1.0	0	0	0	0	0	0	0	0	0
a1k12/characterizing-pinns-failure-modes	1629237505	1637205359	7967854	59514036	51546182	72	0	0	2	0	25	25	2	15	0.73	0.27	0	0	0	0	0	0	0	0
a1k12/moleculetda	1603140116	1661706616	58566500	85611425	27044925	19	0	0	2	0	4	4	2	79	0.51	0.49	0	0	0	0	0	0	0	0
aacosta13/IDEAS-Work	1594700812	1597899623	3198811	94050729	90851918	0	0	0	0	0	1	1	1	3	1.0	0	0	0	0	0	0	0	0	0
AADeLucia/los_alamos_makers_python_club	1550022360	1551917624	1895264	138729181	136833917	2	0	0	0	0	1	1	1	1	1.0	0	0	0	0	0	0	0	0	0
aaparedes15/EBIT_spectral_analysis	1358469168	1358469426	258	330282373	330282115	0	0	0	0	0	0	0	1	1	1.0	0	0	0	0	0	0	0	0	0
aaronmlarsen/NN-ArtificialViscosity	1598673967	1624657338	25983371	90077574	64094203	0	0	0	0	0	0	0	1	4	1.0	0	0	0	0	0	0	0	0	0
aaronyujiaze/LBNL	1522450621	1522450769	148	166300920	166300772	0	0	0	0	0	0	0	1	2	1.0	0	0	0	0	0	0	0	0	0
abarnea/Bispectrum	1660929416	1686089455	25160039	27822125	2662086	0	0	0	0	0	0	0	1	49	1.0	0	0	0	0	0	0	0	0	0
abodh/sampleGridAPPSD	1592937623	1616716425	23778802	95813918	72035116	0	0	0	1	0	0	0	2	10	0.9	0.1	0	0	0	0	0	0	0	0
acadien/xrdAnalysis	1432059578	1432059718	140	256691963	256691823	2	0	0	0	0	1	1	1	2	1.0	0	0	0	0	0	0	0	0	0
accert-dev/accert	1680711322	1687882643	7171321	8040219	868898	1	0	0	9	0	2	2	1	10	1.0	0	0	0	0	0	0	0	0	0
acme-climate/iesm	1496860037	1498485202	1625165	191891504	190266339	12	0	0	1	0	7	7	1	8	1.0	0	0	0	0	0	0	0	0	0
ACME-OUI/llnl-poller	1469568723	1477931310	8362587	219182818	210820231	0	0	0	0	0	0	0	1	27	1.0	0	0	0	0	0	0	0	0	0
acroucher/pytough	1316394118	1688101336	371707218	372357423	650205	79	0	0	10	0	34	34	2	900	1.0	0.0	0	0	0	0	0	0	0	0
