"repo","time_since_last_push","stars_count","forks_count"
"0tt3r/QuaC",7122649,23,17
"0xBAMA/FroggySection",38506384,1,0
"0z3r02/warewulf.lbl.gov",144204810,0,0
"1rdiansyah/earth-surface-temperature",47145395,0,0
"2019-ncovgroup/drugworkflows",71123402,3,6
"343guiltyspark/NREL-API",95275118,0,0
"34ide/lauego",21258515,5,1
"760374564b/openucx",37211202,0,0
"907Resident/NEON_Data_Analysis",75912317,0,0
"a-ghose/GCN_Notebooks",15434712,1,0
"a-ghose/XANES-NNEnsemble_Notebooks",15344130,0,0
"a1k12/characterizing-pinns-failure-modes",51546182,72,25
"a1k12/moleculetda",27044925,19,4
"aacosta13/IDEAS-Work",90851918,0,1
"AADeLucia/los_alamos_makers_python_club",136833917,2,1
"aaparedes15/EBIT_spectral_analysis",330282115,0,0
"aaronmlarsen/NN-ArtificialViscosity",64094203,0,0
"aaronyujiaze/LBNL",166300772,0,0
"abarnea/Bispectrum",2662086,0,0
"abodh/sampleGridAPPSD",72035116,0,0
"acadien/xrdAnalysis",256691823,2,1
"accert-dev/accert",868898,1,2
"acme-climate/iesm",190266339,12,7
"ACME-OUI/llnl-poller",210820231,0,0
"acroucher/pytough",650205,79,34
"acts-project/acts",115341,88,126
"AD-SDL/.github",28136043,0,0
"AD-SDL/8IDI_workcell",686865,0,0
"AD-SDL/a4s_sealer_module",860256,0,3
"AD-SDL/adc-rdm-sdk",18187041,3,1
"AD-SDL/auto-frhodo",24529822,0,1
"ad-sdl/azenta_driver",860256,0,3
"AD-SDL/bio-portal",7522638,0,0
"ad-sdl/biometra_driver",607258,0,0
"AD-SDL/biometra_module",607258,0,0
"AD-SDL/BIO_workcell",164750,0,1
"AD-SDL/brooks_xpeel_module",2155641,0,0
"AD-SDL/camera_module",5512632,0,1
"AD-SDL/DNA-BOT",58402641,0,0
"AD-SDL/Frhodo",24264171,1,0
"AD-SDL/gladier-polly",17182826,0,0
"AD-SDL/gladier-wei",11220590,0,0
"AD-SDL/henry_module",757848,0,0
"AD-SDL/hidex_module",678771,0,0
"AD-SDL/hudson-liquidhandling",6047842,1,0
"ad-sdl/hudson_driver",608331,0,0
"AD-SDL/liconic_module",2164453,0,0
"AD-SDL/nmr-peak-tracking",326506,0,1
"AD-SDL/ot2_driver",2153975,2,2
"AD-SDL/ot2_liquidhandling",26176996,0,0
"AD-SDL/ot2_module",2150132,0,0
"AD-SDL/ot2_workcell",31594487,3,1
"AD-SDL/pf400_module",2151018,3,1
"AD-SDL/platecrane_module",608331,0,0
"AD-SDL/polybot-schema",61170542,0,0
"AD-SDL/polybot-web-service",53823304,0,2
"AD-SDL/polybot_workcell",1364226,1,0
"AD-SDL/RPL",1976039,0,3
"AD-SDL/rpl-camera-vision",26692037,0,3
"AD-SDL/rpl-summer-2022",28674443,0,7
"AD-SDL/rpl-summer-2023",697084,0,5
"AD-SDL/rpl_docker",10273027,0,0
"AD-SDL/rpl_omniverse",5690048,0,0
"AD-SDL/rpl_wei",783687,0,2
"AD-SDL/rpl_workcell",533352,2,2
"AD-SDL/sdl-simulation",60541080,0,0
"AD-SDL/sdl_maestro",6047763,0,1
"AD-SDL/solo_driver",8704512,0,0
"AD-SDL/wei_ros",2151978,0,1
"AD-SDL/workcell_manager",31594207,0,0
"adamantine-sim/adamantine",1562641,18,6
"adammathieson/NREL-data",15742781,0,0
"adamtheisen/3dwxst",93495354,2,0
"adaptivecomputationlab/simcov",3894585,3,9
"adevress/MPICH-BlueGene",219303491,0,0
"adewopova/Adewopo-LBNL-Datascience",32882387,0,0
"adisoft17/spallmap",14926430,1,0
"aditya-grover/climate-learn",147447,192,37
"advancedphotonsource/cdi",75944964,2,0
"advancedphotonsource/componentdb",702494,9,17
"advancedphotonsource/rsmap3d",23921033,8,8
"advancedphotonsource/xpcs-hadoop",196548601,2,0
"advancedphotonsource/xrf-maps",1824682,7,11
"aewallwi/LBNL_HI_Global_Signal",46659450,1,0
"afd-illinois/kharma",1301992,11,9
"afedynitch/x4i3",4940353,7,1
"agarza6/PNNLUploader",357607780,2,2
"agforero/FTFramework",59433868,7,0
"agolotin/SeismicProject",228331286,1,1
"agorskiy12/pnnl-challenge",72242690,0,0
"agstephens/esdoc-cdf2cim",151294319,0,0
"ahmadia/atpesc-2013",312914154,1,4
"ahmedkmadani/MCNPProject",139817580,1,1
"aho38/LLNL-BO-lightprojection-attack",1973322,0,1
"ai4pfas/ai4pfas",6409599,10,0
"aidangrummer/LBNL-Mean",122337558,0,0
"aiidateam/aiida-core",126578,366,163
"aiidateam/aiida-quantumespresso",691605,47,68
"aims-group/aims-group.github.io.archive",222206806,0,1
"aims-group/aims-site",150643,0,2
"aims-group/askbot-playbook",210650284,0,0
"aims-group/comp-hackathon-22",29013559,0,0
"aims-group/intern",210650466,1,2
"aims-group/metagrid",182496,11,2
"aims-group/publication-site",3004876,4,3
"aims-group/recruiting_paradox",210650588,0,4
"aisciencetutorial/denoising",81808328,2,1
"ajacquey/golem",3270201,29,21
"ajdecon/warewulf",332703790,2,3
"akhtarmf/multivariateanalysis",68431276,0,0
"aladshaw3/dgosprey",67220924,2,2
"alaindomissy/singularity-hub",219433038,0,0
"alan-valenzuela/repairtool",23050966,2,0
"alcf-perfengr/alcl",67630302,6,3
"alcf-perfengr/sycltrain",11124848,34,20
"aldnav/doeapi",33019643,0,0
"aldnav/doedownloader",32636329,0,0
"AlexanderRodgers/orhx",171822870,0,0
"alisw/hijing",102576507,0,3
"allanlasser/oldcpu.doe",218418978,4,0
"alliao-lbl/lbnl-cybersecurity.github.io",212979354,0,1
"Allvitende/chemical-modeling",187650522,0,0
"alpaka-group/alpaka",118619,279,56
"Alpine-DAV/algorithms",27317675,2,7
